DATE,PERIOD,R,PLANETDISCMETH,numPlanets
2016,196.435224,0.185,Transit,1
2014,14.589347,0.200732,Transit,1
2016,52.0688601,0.206,Transit,1
2016,21.41616926,0.189,Transit,1
2011,3.577469,1.16,Transit,1
2014,9.848183,0.178428,Transit,1
2014,18.643577,0.175752,Transit,1
2014,4.337234,0.148987,Transit,1
2016,11.11990653,0.185,Transit,1
2016,14.88801098,0.161,Transit,1
2014,21.347262,0.201624,Transit,1
2016,61.6178167,0.326,Transit,1
2012,4.457243,1.73,Transit,1
2016,8.02511821,0.637,Transit,1
2014,87.090195,0.230172,Transit,1
2014,11.008151,0.190026,Transit,1
2014,15.660544,0.232849,Transit,1
2016,80.8720639,0.534,Transit,1
2016,214.886545,0.229,Transit,1
2016,6.49168426,0.822,Transit,1
2016,214.3114164,0.852,Transit,1
2016,29.6091744,0.103,Transit,1
2014,2.461069,0.0740476,Transit,1
2014,5.996553,0.284593,Transit,1
2016,3.85560355,1.238,Transit,1
2016,0.93511806,0.082,Transit,1
2014,8.472382,0.21679,Transit,1
2016,5.3227406,0.147,Transit,1
2014,7.518496,0.174859,Transit,1
2016,39.859484,0.112,Transit,1
2016,160.8846509,0.755,Transit,1
2014,12.691112,0.163262,Transit,1
2016,25.2034787,0.211,Transit,1
2016,16.3583055,0.168,Transit,1
2016,22.36656079,0.258,Transit,1
2016,5.34264507,0.205,Transit,1
2014,8.307872,0.181104,Transit,1
2016,9.61375356,0.27,Transit,1
2012,9.3761368,0.248685,Transit,1
2016,15.59461874,0.259,Transit,1
2016,31.7785901,0.148,Transit,1
2016,0.63400294,0.136,Transit,1
2014,25.563222,0.314926,Transit,1
2016,1.510848,0.101541,Transit,1
2016,15.18725932,0.204,Transit,1
2016,2.71603809,0.095,Transit,1
2016,4.41745855,0.259,Transit,1
2014,77.095691,0.357748,Transit,1
2014,2.403679,0.0972433,Transit,1
2016,0.92990668,0.136,Transit,1
2016,3.9324613,0.142,Transit,1
2014,13.817124,0.133821,Transit,1
2011,3.024095,1.2,Transit,1
2014,13.930698,0.106165,Transit,1
2014,10.08881,0.413953,Transit,1
2016,8.45808312,0.211,Transit,1
2016,81.73780699,0.202,Transit,1
2014,7.8457,1.193,Transit,1
2009,4.3530135,1.407,Transit,1
2016,2.53918318,0.176,Transit,1
2012,12.883,0.215,Transit,1
2016,4.85386933,0.155,Transit,1
2016,34.18890521,0.282,Transit,1
2014,40.101371,0.262289,Transit,1
2011,5.508023,0.995,Transit,1
2016,38.3774623,0.223,Transit,1
2014,6.475434,0.164154,Transit,1
2016,5.11177904,0.272,Transit,1
2016,9.59070716,0.19,Transit,1
2014,4.62332,0.0758319,Transit,1
2011,0.813475,0.93,Transit,1
2016,26.548955,0.095,Transit,1
2014,43.595792,0.30422,Transit,1
2011,21.0874,1.22,Transit,1
2016,100.8274113,0.339,Transit,1
2016,5.45298175,0.071,Transit,1
2016,19.67416124,0.148,Transit,1
2016,5.60014851,0.135,Transit,1
2016,5.50860439,0.115,Transit,1
2016,3.97076766,0.125,Transit,1
2016,53.44945593,0.572,Transit,1
2016,5.15448442,0.226,Transit,1
